Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
Num_exp Num_rolls Num_sides Side_number Dice_Power_Lower Dice_Power_Upper
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
100 1000 20 11 1.5 1.6
